campaign,ad,visits,landing_view,free_result_view,unlock_choice_modal_open,share_select,pay_select,any_select,unlock_granted,speed_purchases,deep_purchases,revenue_krw
HW_FREE_RESULT_VIEW,AD_Free_Hyeonwol_01,0,0,0,0,0,0,0,0,0,0,0
HW_FREE_RESULT_VIEW,AD_Free_RedRose_01,0,0,0,0,0,0,0,0,0,0,0
HW_FREE_RESULT_VIEW,AD_Free_SajuWritten_01,0,0,0,0,0,0,0,0,0,0,0
HW_FREE_RESULT_VIEW,AD_Free_BlueFlame_01,0,0,0,0,0,0,0,0,0,0,0
HW_SHARE_UNLOCK,AD_Share_GeotSok_A_01,0,0,0,0,0,0,0,0,0,0,0
HW_SHARE_UNLOCK,AD_Share_GeotSok_B_01,0,0,0,0,0,0,0,0,0,0,0
HW_SHARE_UNLOCK,AD_Share_GeotSok_C_01,0,0,0,0,0,0,0,0,0,0,0
HW_990_SPEED_DECODE,AD_990_DangerPattern_01,0,0,0,0,0,0,0,0,0,0,0
HW_990_SPEED_DECODE,AD_990_AmbiguousLoop_01,0,0,0,0,0,0,0,0,0,0,0
face_dohwa_share,peach_mist,54,3,6,9,4,0,4,4,0,0,0
hw_new_creative_screening_abo_20260620,ad_2nd_dangerdohwa_01,180,61,105,82,22,7,29,25,9,0,8910
hw_new_creative_screening_abo_20260621,ad_2nd_selfothersgap_01,90,29,54,44,12,1,13,9,2,0,1980
hw_new_creative_screening_abo_20260620,ad_2nd_selfothersgap_01,95,13,55,46,16,3,19,12,4,0,3960
face_dohwa_share,red_rose,107,1,7,7,4,0,4,4,4,0,3960
hw_990_core_soft,ad_share_geotsok_b_01,67,21,43,36,14,3,17,16,14,0,13860
face_dohwa_share,blue_flame,26,0,0,0,0,0,0,0,1,0,990
campaign_name,ad_name,10,0,1,1,0,0,0,0,0,0,0
face_dohwa_share,sunlit_flirting,53,1,3,2,1,0,1,1,1,0,990
hw_990_core_soft,ad_free_redrose_01,186,7,26,14,3,4,7,4,21,1,34590
face_dohwa_share,cold_moonlight,20,1,0,0,0,0,0,0,0,0,0
face_dohwa_share,black_perfume,12,0,0,0,0,0,0,0,1,0,990
