spend,impressions,reach,clicks,link_clicks,landing_page_views,view_content,initiate_checkout,purchase,purchase_value,first_spend_date,last_spend_date,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,ad_status,creative_name,utm_campaign,utm_content,ctr,cpc,cpm,frequency,cost_per_lpv
177480,14169,11866,1174,1141,1271,944,92,60,59400,2026-06-06,2026-06-14,120245007410090132,HW_FREE_RESULT_VIEW,120245007410080132,AS_WOMEN_2040_BROAD,120245008410810132,AD_Free_Hyeonwol_01,CAMPAIGN_PAUSED,현월에게 읽히기 2026-06-12-39f0deaf0830853c6b021fc9711f6b84,{{campaign.name}},{{ad.name}},8.286,151.18,12525.94,1.194,139.64
67428,1829,1504,103,103,102,71,9,8,7920,2026-06-06,2026-06-14,120245008824950132,HW_990_SPEED_DECODE,120245008824940132,AS_WOMEN_2040_BROAD,120245010047450132,AD_990_DangerPattern_01,CAMPAIGN_PAUSED,헤어나오지 못하는 이유 2026-06-12-8c36783fba4c8d9bde6a17cfc803ff26,{{campaign.name}},{{ad.name}},5.631,654.64,36866.05,1.216,661.06
60778,3433,3070,333,328,412,273,33,18,17820,2026-06-06,2026-06-14,120245008526170132,HW_SHARE_UNLOCK,120245008526190132,AS_WOMEN_2040_BROAD,120245008635500132,AD_Share_GeotSok_B_01,CAMPAIGN_PAUSED,'겉'도화 vs '속'도화 2026-06-12-8dbc03800fb8cd49f78132c817d2ab41,{{campaign.name}},{{ad.name}},9.7,182.52,17704.05,1.118,147.52
58599,2011,1755,128,128,160,68,16,13,25680,2026-06-15,2026-06-18,120245634576460132,HW_990_CORE_SOFT,120245634576470132,(종료)KR_F_20_40_BROAD_PURCHASE,120245635354910132,AD_Free_RedRose_01,PAUSED,무료 겉도화 보기 2026-06-16-4b2db5557b6748a286a3af09402d124b,{{campaign.name}},{{ad.name}},6.365,457.8,29139.23,1.146,366.24
32869,2565,2168,161,162,204,128,17,10,9900,2026-06-07,2026-06-14,120245008526170132,HW_SHARE_UNLOCK,120245008526190132,AS_WOMEN_2040_BROAD,120245008689000132,AD_Share_GeotSok_C_01,CAMPAIGN_PAUSED,현월의 도화 사주 개안 2026-06-12-d9014d06191ccc87f4a414e363d03bcb,{{campaign.name}},{{ad.name}},6.277,204.16,12814.42,1.183,161.12
32079,703,635,39,39,43,0,0,0,0,2026-06-21,2026-06-26,120245634576460132,HW_990_CORE_SOFT,120245974645120132,AS_CORE_PURCHASE_20260621,120245974884920132,AD_Share_GeotSok_A_01,PAUSED,겉도화 다음 속도화 2026-06-20-661d934d130a769006ff0fc045f61817,{{campaign.name}},{{ad.name}},5.548,822.54,45631.58,1.107,746.02
30633,1810,1648,171,165,197,50,1,2,1980,2026-06-21,2026-06-28,120245976572570132,HW_NEW_CREATIVE_SCREENING_ABO_20260621,120245976638560132,AS_NEW_02_DangerDohwa_VC,120245976638570132,AD_2ND_DangerDohwa_01,CAMPAIGN_PAUSED,내 도화 보기 2026-06-20-7c5f78db75bf76ce71d151e9fc27ad95,{{campaign.name}},{{ad.name}},9.448,179.14,16924.31,1.098,155.5
30473,2144,1947,159,159,186,51,3,2,1980,2026-06-21,2026-06-28,120245976572570132,HW_NEW_CREATIVE_SCREENING_ABO_20260621,120245976798150132,AS_NEW_08_SelfOthersGap_VC,120245976798160132,AD_2ND_SelfOthersGap_01,CAMPAIGN_PAUSED,사람들이 보는 나 2026-06-20-6299730e0555d95af11ea1cf5251aad1,{{campaign.name}},{{ad.name}},7.416,191.65,14213.15,1.101,163.83
28742,672,579,54,51,67,0,0,0,0,2026-06-21,2026-06-22,120245634576460132,HW_990_CORE_SOFT,120245974645120132,AS_CORE_PURCHASE_20260621,120245974868160132,AD_Free_SajuWritten_01,CAMPAIGN_PAUSED,도화 사주 보기 2026-06-20-ada4cd0c9b243f44341fa93af2c75ada,{{campaign.name}},{{ad.name}},8.036,532.26,42770.83,1.161,428.99
28446,734,640,51,51,80,30,12,10,9900,2026-06-21,2026-06-28,120245634576460132,HW_990_CORE_SOFT,120245974645120132,AS_CORE_PURCHASE_20260621,120245974909400132,AD_Share_GeotSok_B_01,CAMPAIGN_PAUSED,내 속도화 보기 2026-06-20-66b7cfa0f66470cc7328a32550adc69d,{{campaign.name}},{{ad.name}},6.948,557.76,38754.77,1.147,355.57
27100,2765,2366,259,255,301,114,6,3,2970,2026-06-15,2026-06-18,120245637787030132,HW_FREE_UX_MONITOR,120245637787040132,KR_F_20_40_BROAD_VIEWCONTENT,120245637787050132,AD_Free_SajuWritten_01,CAMPAIGN_PAUSED,도화 사주 보기 2026-06-14-1b63879589d00f21f2d16af910191685,{{campaign.name}},{{ad.name}},9.367,104.63,9801.08,1.169,90.03
21678,1573,1334,201,204,228,122,6,4,3960,2026-06-06,2026-06-14,120245007410090132,HW_FREE_RESULT_VIEW,120245007410080132,AS_WOMEN_2040_BROAD,120245007410100132,AD_Free_RedRose_01,CAMPAIGN_PAUSED,무료 겉도화 보기 2026-06-12-dfa4f597a5bed7ba06202a55ad885bc0,{{campaign.name}},{{ad.name}},12.778,107.85,13781.31,1.179,95.08
20331,594,536,38,38,35,29,9,5,17760,2026-06-15,2026-06-18,120245634576460132,HW_990_CORE_SOFT,120245634576470132,(종료)KR_F_20_40_BROAD_PURCHASE,120245635305790132,AD_Free_Hyeonwol_01,PAUSED,현월에게 읽히기 2026-06-20-df0ee70de1f3d3bcceb5db655a5c5b99,{{campaign.name}},{{ad.name}},6.397,535.03,34227.27,1.108,580.89
15939,987,869,89,93,87,2,0,0,0,2026-06-21,2026-06-26,120245976572570132,HW_NEW_CREATIVE_SCREENING_ABO_20260621,120245976572560132,AS_NEW_01_FirstImpression_VC,120245976572550132,AD_2ND_FirstImpression_01,ADSET_PAUSED,첫인상 도화 보기 2026-06-20-9f39aa101545aa35deb68bc61eb0efd3,{{campaign.name}},{{ad.name}},9.017,179.09,16148.94,1.136,183.21
